name,constituency,so_do_wo,age,party,assets,liabilities
KOLKUR PRATAP,SANGAREDDY  (SANGAREDDY),Kolkur Shivaiah,44,IND,"Rs 11,20,000",Nil
KONINTY MANIK RAO(Winner),ZAHIRABAD (SC)  (SANGAREDDY),Late Koninty Balappa,68,BRS,Telangana 2018,"Rs2,99,57,050"
KRISHNA PUMP,ANDOLE (SC)  (SANGAREDDY),Bhumaiah,47,IND,"Rs 7,50,000","Rs 2,00,000"
KYASARAM PRAVIN KUMAR,SANGAREDDY  (SANGAREDDY),Ramul Kyasaram,44,BSP,"Rs 1,99,70,675","Rs 22,00,000"
LAKSHMAN ANNELA,PATANCHERU  (SANGAREDDY),Nadppi Lasmaiah,39,Dharma Samaj Party,"Rs 50,50,000","Rs 15,30,000"
M. RAMULU,PATANCHERU  (SANGAREDDY),Lt. Manne Bhagaiah,42,IND,"Rs 54,15,000",Nil
MAHAREDDY BHUPAL REDDY,NARAYANKHED  (SANGAREDDY),MAHAREDDY VENKAT REDDY,63,BRS,"Rs 14,03,40,318","Rs 2,24,05,713"
MARK BABU,ZAHIRABAD (SC)  (SANGAREDDY),Balaiah Romala,38,India Praja Bandhu Party,Telangana 2023,"Rs1,04,09,061"
MARRI DURGESH,ZAHIRABAD (SC)  (SANGAREDDY),Late Sukh Dev,40,Republican Party of India,Loksabha 2014,"Rs1,44,000"
MEDE GOPAL,SANGAREDDY  (SANGAREDDY),Mede Sangalah,37,IND,"Rs 20,000","Rs 1,16,000"
METHRI MANOHAR,SANGAREDDY  (SANGAREDDY),Saidaiah,54,Bahujan Republican Socialist Party,"Rs 4,45,000",Nil
MOGUDAM PALLY ASHAPPA,ZAHIRABAD (SC)  (SANGAREDDY),Papaiah,38,IND,"Rs 3,68,760","Rs 58,000"
MOHAMED SAHEB JANI,SANGAREDDY  (SANGAREDDY),Mohammad Quthbddin,57,IND,"Rs 2,00,000",Nil
MOHAMMED JAWEED,SANGAREDDY  (SANGAREDDY),Mohammed Mahbob Jani,35,Desh Janhit Party,"Rs 7,15,000",Nil
MOHD ALAUDDIN,NARAYANKHED  (SANGAREDDY),Mohd. Sharfuddin,44,BSP,"Rs 1,27,03,314","Rs 1,97,032"
MUDIRAJU VENKATESHAM,NARAYANKHED  (SANGAREDDY),Sh. Mudiraj Ramanna,50,IND,Telangana 2018,"Rs7,64,000"
MUPPARAM PRAKASHAM,ANDOLE (SC)  (SANGAREDDY),Mupparam Gnananandhan,46,BSP,"Rs 24,10,000","Rs 12,04,000"
MYATRI MAHENDAR,ZAHIRABAD (SC)  (SANGAREDDY),Anjaiah,37,Dharma Samaj Party,"Rs 14,52,420","Rs 2,24,000"
N. KRANTHI KUMAR,ANDOLE (SC)  (SANGAREDDY),N Krishna,31,IND,"Rs 28,739",Nil
NADIMINTI KRISHNA,ANDOLE (SC)  (SANGAREDDY),Mallaiah Nadiminti,50,IND,"Rs 71,40,000",Nil
NANDEESHWAR GOUD THOUTI,PATANCHERU  (SANGAREDDY),Mohan Goud T,61,BJP,Telangana 2014,"Rs5,49,96,000"
NARSIMLU THOTA,SANGAREDDY  (SANGAREDDY),Gandaiah Thota,54,India Praja Bandhu Party,"Rs 64,17,128",Nil
NARSIMULU,ZAHIRABAD (SC)  (SANGAREDDY),Sangaiah,44,Alliance of Democratic Reforms Party,"Rs 24,93,622",Nil
NAVODAYA SIDHU (B. SIDHARTH),ZAHIRABAD (SC)  (SANGAREDDY),Manikappa,36,Vidhyarthula Rajakiya Party,"Rs 3,43,661",Nil
NEELAKANTI ASHOK KUMAR,NARAYANKHED  (SANGAREDDY),Late Rajaih,51,IND,"Rs 56,86,177","Rs 18,00,000"
NEELAM MADHU,PATANCHERU  (SANGAREDDY),Neelam Nirmal,40,BSP,"Rs 14,61,47,584","Rs 1,30,66,093"
NEERADI NARSIMULU,SANGAREDDY  (SANGAREDDY),Neeradi Sailu,33,IND,"Rs 32,500",Nil
P. NARSA REDDY,NARAYANKHED  (SANGAREDDY),Pitlam Ram Reddy,58,IND,"Rs 4,96,650",Nil
P.KRANTHI KUMAR,ANDOLE (SC)  (SANGAREDDY),P Papa Rao,31,IND,"Rs 20,952",Nil
PATLOLLA SANJEEVA REDDY(Winner),NARAYANKHED  (SANGAREDDY),Patlolla Kista Reddy,61,INC,Telangana 2018,"Rs1,44,73,286"
PATLOLLA SANTOSH REDDY,SANGAREDDY  (SANGAREDDY),Patlolla Rajendra Reddy,36,IND,"Rs 2,52,275",Nil
PAVAN KASALA,ANDOLE (SC)  (SANGAREDDY),KASALA ASHOK,33,India Praja Bandhu Party,"Rs 1,46,500",Nil
PENMETS MADHAVI LATHA,PATANCHERU  (SANGAREDDY),Lt. Penmets Satyanarayana Raju,42,IND,"Rs 27,40,000",Nil
POLICE RAMCHANDER,SANGAREDDY  (SANGAREDDY),P.Jangaiah,50,All India Mahila Empowerment Party,"Rs 41,85,500","Rs 40,000"
PONNA MALA RUKMINI REDDY,NARAYANKHED  (SANGAREDDY),Ponnamala Narendar,40,IND,"Rs 6,30,500","Rs 23,00,000"
POSANPALLY BAPU REDDY,SANGAREDDY  (SANGAREDDY),P.Ram Krishna Reddy,50,IND,"Rs 4,64,36,493","Rs 51,81,120"
POTTIGALLA MOHAN,ANDOLE (SC)  (SANGAREDDY),POTTIGALLA MOGULAIAH,43,IND,"Rs 40,000",Nil
PRAKASH RATHOD,NARAYANKHED  (SANGAREDDY),Mahipathi,30,Bahujan Mukti Party,"Rs 12,70,000","Rs 7,00,000"
PRAVEEN,ZAHIRABAD (SC)  (SANGAREDDY),Pentaiah,37,IND,Telangana 2018,"Rs67,025"
PULIMAMIDI RAJU,SANGAREDDY  (SANGAREDDY),Pulimamidi Mallaiah,43,BJP,"Rs 5,45,71,330","Rs 3,58,31,573"
PUTALA VITHAL,NARAYANKHED  (SANGAREDDY),Sh. Putala Kishtaiah,66,IND,"Rs 8,46,100",Nil
RAMCHANDER RAJANARSIMHA CILARAPU,ZAHIRABAD (SC)  (SANGAREDDY),RAJANARSIMHA CILARAPU,54,BJP,"Rs 5,27,59,761","Rs 87,15,520"
RAMESH,ZAHIRABAD (SC)  (SANGAREDDY),Chandraiah,36,Telangana Praja Shakthi Party,"Rs 7,50,450",Nil
RAMESH BEGARI,ANDOLE (SC)  (SANGAREDDY),Begari Bethaiah,29,IND,"Rs 1,40,000",Nil
RAMESH YADAV,SANGAREDDY  (SANGAREDDY),Vittal,37,IND,"Rs 20,40,000",Nil
RAMULU HUGGELLY,ZAHIRABAD (SC)  (SANGAREDDY),Tuljaiah,34,IND,Telangana 2018,"Rs14,000"
REGOTI SHARATH KUMAR,SANGAREDDY  (SANGAREDDY),Jagadiswar,30,Vidhyarthula Rajakiya Party,"Rs 5,56,000",Nil
SATHYANARAYANA NAGUSANPALLI,SANGAREDDY  (SANGAREDDY),Durgaiah,37,IND,"Rs 89,56,120","Rs 25,92,868.47"
SATISH. V,NARAYANKHED  (SANGAREDDY),Sh. Arjun V,28,IND,"Rs 12,03,575",Nil
SATKULA ANJANEYULU,SANGAREDDY  (SANGAREDDY),Veeraiah,41,IND,"Rs 22,000",Nil
SATTI. GOPAL REDDY,NARAYANKHED  (SANGAREDDY),Sati Papu Reddy,48,Yuga Thulasi Party,"Rs 26,74,487","Rs 21,74,000"
SATYANARAYANA GOUD KOVURI,SANGAREDDY  (SANGAREDDY),Late Mogulaiah Goud Kovuri,38,Bharatha Chaitanya Yuvajana Party,"Rs 28,02,570","Rs 1,50,000"
SHEKER PALPANOORI,SANGAREDDY  (SANGAREDDY),Palpanuri Durgaiah,40,Bahujan Mukti Party,"Rs 50,950","Rs 14,74,441.26"
SHIVASHANKAR,ZAHIRABAD (SC)  (SANGAREDDY),Thukkaram,30,IND,"Rs 18,492",Nil
SRINIVAS,ZAHIRABAD (SC)  (SANGAREDDY),Ningappa,37,IND,"Rs 6,29,232",Nil
T. JAYAPRAKASH REDDY,SANGAREDDY  (SANGAREDDY),Jagga Reddy,57,INC,Telangana 2018,"Rs2,78,06,074"
T. PADMA RAO,PATANCHERU  (SANGAREDDY),Tangadapally Chandraiah,40,India Praja Bandhu Party,"Rs 17,42,000",Nil
THUMMALAPALLY PRUTHVIRAJ,SANGAREDDY  (SANGAREDDY),Thummalapally Veer Sangappa,54,IND,Lok Sabha 2019,"Rs1,04,28,157"
ULLAS,ZAHIRABAD (SC)  (SANGAREDDY),Keshappa,30,IND,"Rs 10,000",Nil
V SIVA KUMAR,ANDOLE (SC)  (SANGAREDDY),Late V Vijaya Prakash Rao,36,IND,"Rs 9,10,550","Rs 60,000"
V. VENKAT REDDY,SANGAREDDY  (SANGAREDDY),Late  V. Malla Reddy,34,IND,"Rs 47,59,063","Rs 2,40,451.90"
VATNAGARI DAVIDU,ANDOLE (SC)  (SANGAREDDY),RATHNAIAH,40,IND,"Rs 1,35,000",Nil
AHEMAD,GAJWEL  (SIDDIPET),Mohammed Syed,34,Jana Shankhaaraavam Party,"Rs 1,00,000",Nil
ANILREDDY KADTHALA,HUSNABAD  (SIDDIPET),Narsimhareddy,29,IND,"Rs 4,22,035","Rs 1,27,733"
ASHOK POTHU,GAJWEL  (SIDDIPET),Pothu Narayana,52,Mana Telangana Rashtra Samaikya Party,"Rs 2,14,60,000",Nil
ATI ANJANEYULU,SIDDIPET  (SIDDIPET),Ati Balaraju,37,IND,"Rs 4,41,500","Rs 1,14,925"
BABU KARROLLA,SIDDIPET  (SIDDIPET),Mallaiah,40,Dharma Samaj Party,Telangana 2014,"Rs4,90,000"
BADDAM SRINIVAS REDDY,GAJWEL  (SIDDIPET),Rajareddy,46,IND,Lok Sabha 2019,"Rs20,05,198"
BAKKA SADESH,GAJWEL  (SIDDIPET),Late Bakka Pochaiah,36,IND,"Rs 44,95,000",Nil
BARRE MALLAIAH,SIDDIPET  (SIDDIPET),Barre Bhoomaiah,70,IND,"Rs 52,80,000","Rs 3,20,000"
BHANUCHANDER DASARI,GAJWEL  (SIDDIPET),Yadagiri,28,IND,"Rs 25,20,000","Rs 31,70,000"
BOINI SADAN MAHARAJ,HUSNABAD  (SIDDIPET),Rayamallu,35,Dharma Samaj Party,"Rs 2,14,500","Rs 4,70,315"
BOLLI SUBHASH,HUSNABAD  (SIDDIPET),Rajaiah,32,Telangana Dravida Prajala Party,"Rs 5,42,500",Nil
BOMMA SRIRAM CHAKRAVARTHY,HUSNABAD  (SIDDIPET),Late Sh. Bomma Venkateshwar,53,BJP,"Rs 18,88,19,835","Rs 1,82,88,279"
BOTHA NAGABHUSHANAM,HUSNABAD  (SIDDIPET),Yellaiah,40,India Praja Bandhu Party,"Rs 12,30,000",Nil
CHERUKU SRINIVAS REDDY,DUBBAK  (SIDDIPET),Late Cheruku Muthyam Reddy,52,INC,Telangana 2018,"Rs4,96,12,398"
D. ELLAM,GAJWEL  (SIDDIPET),Devi Balaiah,46,IND,"Rs 92,00,000",Nil
DASARI CHENDRAMOHAN,GAJWEL  (SIDDIPET),Kumuraiah,38,IND,"Rs 41,41,600","Rs 5,40,000"
DASARI HARIBABU,GAJWEL  (SIDDIPET),Balraju,34,IND,"Rs 2,70,000",Nil
DATRIKA SANTOSH,GAJWEL  (SIDDIPET),Datrika Shiva Shankar,46,Navarang Congress Party,"Rs 21,000",Nil
DEVASANI THIRUPATHI REDDY,HUSNABAD  (SIDDIPET),Malla Reddy,48,IND,"Rs 56,37,000",Nil
DHARMAJIPETA PRATHAP REDDY,SIDDIPET  (SIDDIPET),Bal Reddy,46,IND,"Rs 29,40,000","Rs 1,65,000"
DUBBAKA BUGGARAJU,GAJWEL  (SIDDIPET),Yellaiah,45,Dharma Samaj Party,"Rs 1,73,000",Nil
DUDI SRIKANTH REDDY,SIDDIPET  (SIDDIPET),Raji Reddy,42,BJP,"Rs 38,90,000","Rs 32,22,254"
DUMBALA PARASHARAMULU,HUSNABAD  (SIDDIPET),Kanakaiah,49,Jai Swaraj Party,Telangana 2018,"Rs67,450"
DUTPALA NARESH,DUBBAK  (SIDDIPET),Dutpala Rajaiah,36,Praja Ektha Party,"Rs 40,39,487",Nil
EATALA RAJENDAR,GAJWEL  (SIDDIPET),Pedda Mallaiah,59,BJP,Telangana 2023,"Rs53,94,28,867"
EKKLDEVI LINGAM,SIDDIPET  (SIDDIPET),Ekkaldevi Raajaiah,40,IND,"Rs 15,90,000",Nil
GABBULA NAGENDER,GAJWEL  (SIDDIPET),Vithaleshwar,54,IND,Telangana 2023,"Rs36,76,000"
GADDA SATHISH,HUSNABAD  (SIDDIPET),Gadda Odelu,33,IND,"Rs 2,21,500",Nil
GADDAM ANITHA,GAJWEL  (SIDDIPET),Gaddam Rajaram,44,Gana Suraksha Party,Telangana 2023,"Rs12,000"
GADDAM ASHOK,GAJWEL  (SIDDIPET),Gaddam Purushotham,32,All India Hindustan Congress Party,"Rs 50,000",Nil
GADHAGONI CHAKRADHAR GOUD,SIDDIPET  (SIDDIPET),Ramakrishna Goud,36,BSP,"Rs 5,98,32,008","Rs 1,10,61,916"
GONDHI BHUJANGAM,DUBBAK  (SIDDIPET),Gondhi Durgaiah,63,IND,"Rs 32,00,000","Rs 40,00,000"
GOUTI MALLESH,DUBBAK  (SIDDIPET),Gouti Yellaiah,43,Rashtra Samanya Praja Party,Telangana 2018,"Rs2,42,000"
GUMMADI SRISHYLAM,SIDDIPET  (SIDDIPET),Narsaiah,36,IND,"Rs 61,40,000","Rs 29,66,000"
GURRAPU RAMULU,GAJWEL  (SIDDIPET),Late Gurrupa Narsiah,61,IND,"Rs 4,88,750",Nil
GUVVALA SANTHOSH KUMAR,SIDDIPET  (SIDDIPET),Yellaiah,31,IND,"Rs 71,000","Rs 40,759"
JAKKANI SANJAY KUMAR,GAJWEL  (SIDDIPET),Rajamouli,27,BSP,"Rs 50,000",Nil
JEEDIPALLY SRINIVAS,GAJWEL  (SIDDIPET),Mallaiah Jeedipally,32,IND,Telangana 2018,"Rs7,000"
KALVAKUNTLA CHANDRASHEKAR RAO(Winner),GAJWEL  (SIDDIPET),Late Kalvakuntla Raghava Rao,69,BRS,"Rs 58,93,31,800","Rs 24,51,13,631"
KAMADRI MURALI,HUSNABAD  (SIDDIPET),Veeraiah,35,IND,"Rs 8,600",Nil
KARUNKAR REDDY ADIYALA,GAJWEL  (SIDDIPET),Raghupathi Reddy,46,IND,"Rs 19,13,826","Rs 47,228"
KASHAVENI SAMMAIAH,HUSNABAD  (SIDDIPET),Bakkaiah,50,IND,"Rs 17,97,270","Rs 1,55,000"
KINNERA YADAIAH,GAJWEL  (SIDDIPET),K. Lakshmaih,38,IND,Telangana 2023,"Rs2,62,000"
KIRAN RATHOD,GAJWEL  (SIDDIPET),Laxman,30,IND,Telangana 2023,"Rs10,000"
KOTTA PRABHAKAR REDDY(Winner),DUBBAK  (SIDDIPET),Late Kishta Reddy,60,BRS,Lok Sabha 2019,"Rs1,26,65,81,773"
LANKASIRI RAJ KUMAR,HUSNABAD  (SIDDIPET),Saraiah,29,National Nava Kranthi Party,"Rs 20,000",Nil
LOGGARI RAMESH PATEL,GAJWEL  (SIDDIPET),Late Balnarsaiah Loggari,46,IND,Telangana 2023,"Rs20,46,357"
M RAGHUNANDAN RAO,DUBBAK  (SIDDIPET),M. Bhagavantha Rao,58,BJP,Lok Sabha 2019,"Rs12,64,88,701"
MAHAMMAD UMAR,DUBBAK  (SIDDIPET),Jafar,38,IND,"Rs 24,00,000","Rs 8,00,000"
MAMIDI NARAYANAREDDY,GAJWEL  (SIDDIPET),Ganga Reddy,57,IND,"Rs 9,00,000","Rs 7,00,000"
MARATI MANIDEEP,HUSNABAD  (SIDDIPET),Srinivas,27,IND,"Rs 2,70,000",Nil
MEKALA RAGHUMA REDDY,GAJWEL  (SIDDIPET),Narishma Reddy Mekala,39,Yuga Thulasi Party,Telangana 2018,"Rs9,35,000"
MEKALA SARITHA REDDY,GAJWEL  (SIDDIPET),Raghuma Reddy Mekala,29,IND,"Rs 48,000",Nil
MUKKERA KRISHNA,GAJWEL  (SIDDIPET),Mukkera Ramulu,31,IND,"Rs 11,93,500",Nil
N. PRASAD,GAJWEL  (SIDDIPET),Bhoomaiah Neerudi,28,Blue India Party,"Rs 60,000",Nil
NARSIMHA REDDY ADULLA,SIDDIPET  (SIDDIPET),Malla Reddy,59,Bharatha Chaitanya Yuvajana Party,"Rs 62,80,000","Rs 2,00,000"
NAVNANANDI LIMBAREDDY,GAJWEL  (SIDDIPET),Chinna Limbaiah,41,IND,"Rs 17,70,000","Rs 1,75,000"
NELAPATI NAGARAJU,GAJWEL  (SIDDIPET),Venkat Rao,32,Vidhyarthula Rajakiya Party,"Rs 1,61,08,000",Nil
NIRUDI SWAMY,GAJWEL  (SIDDIPET),Sathaiah,37,IND,"Rs 11,00,000","Rs 2,40,000"
PACHIMATLA RAVINDER,HUSNABAD  (SIDDIPET),Mallaiah,52,IND,"Rs 81,50,000","Rs 4,33,000"
PAGIDIPALA RAMA RAJU,GAJWEL  (SIDDIPET),Srinivasulu,31,Yuva Taram Party,"Rs 1,31,100",Nil
PAISA RAMAKRISHNA,SIDDIPET  (SIDDIPET),Paisa Laxman,53,IND,"Rs 32,50,000",Nil
PALLETURU PRASAD,GAJWEL  (SIDDIPET),Parshaiah,33,IND,Telangana 2023,"Rs24,99,700"
PASHIKANTI SHANKAR,SIDDIPET  (SIDDIPET),Pashikanti Pochaiah,64,IND,"Rs 19,35,000",Nil
PEDDALINGANNA GARI PRASAD,DUBBAK  (SIDDIPET),Parshaiah,33,IND,Telangana 2023,"Rs24,99,700"
PEDDOLLA SRINIVAS,HUSNABAD  (SIDDIPET),Baiyulu,44,BSP,Telangana 2018,"Rs37,04,090"
PILLI SAI KUMAR,SIDDIPET  (SIDDIPET),Pilli Laxminarayana,26,IND,"Rs 3,01,500","Rs 35,000"
PONNAM PRABHAKAR(Winner),HUSNABAD  (SIDDIPET),Late Sathaiah,56,INC,Lok Sabha 2019,"Rs94,78,606"
POREDDY VENUGOPAL,GAJWEL  (SIDDIPET),Narayana,44,Aabaad Party,"Rs 51,82,000","Rs 5,00,000"
POTHUGANTI NARSIMHA REDDY,SIDDIPET  (SIDDIPET),Pothuganti Mallareddy,72,IND,"Rs 28,34,000","Rs 1,50,000"
PUJALA HARI KRISHNA,SIDDIPET  (SIDDIPET),Sh. Balakrishna,39,INC,"Rs 1,12,52,639","Rs 52,857"
R. NIKHIL,GAJWEL  (SIDDIPET),Govinda Raju Reddy,28,IND,"Rs 25,000",Nil
RACHA SUBHADRA REDDY,GAJWEL  (SIDDIPET),Late Narayana Reddy,73,Socialist Party (India),Lok Sabha 2009,"Rs29,50,000"
RAGULA NAGARAJU,GAJWEL  (SIDDIPET),Ragula Balaiah,35,Bharatha Chaitanya Yuvajana Party,"Rs 16,00,000",Nil
RAJINIKAR CHADA,SIDDIPET  (SIDDIPET),Ashok Reddy Chada,35,IND,"Rs 58,45,250","Rs 18,000"
RAJU BOGGULA,GAJWEL  (SIDDIPET),Boggula Kistaish,32,IND,Telangana 2018,"Rs30,792"
RANAVENI LAXMAN (RL RAO GP),GAJWEL  (SIDDIPET),Ranaveni Rajaiah,50,IND,Telangana 2023,"Rs16,80,000"
RANGANNAGARI JYOTHI,GAJWEL  (SIDDIPET),Rangannagari Krishna Reddy,47,India Praja Bandhu Party,"Rs 1,31,000",Nil
ROMALA BABU DURGAIAH,SIDDIPET  (SIDDIPET),Balaiah Romala,38,India Praja Bandhu Party,Telangana 2023,"Rs1,04,09,061"
SALKAM MALAIAH,DUBBAK  (SIDDIPET),Mallaiah,46,BSP,"Rs 25,45,000","Rs 2,90,000"
SANDEEP KONGANTI,HUSNABAD  (SIDDIPET),Kumaraswamy Konganti,30,Vidhyarthula Rajakiya Party,"Rs 4,81,000","Rs 1,82,000"
SAPAVAT SUMAN,GAJWEL  (SIDDIPET),RAMULU,36,IND,"Rs 20,000",Nil
SATISH KUMAR VODITELA,HUSNABAD  (SIDDIPET),Laxmikanta Rao,57,BRS,Telangana 2018,"Rs5,35,88,773"
SILIVERI INDRAGOUD,GAJWEL  (SIDDIPET),Satyanarayana,36,National Nava Kranthi Party,"Rs 3,88,000",Nil
SRIKANTH PEDDASAIGARI,SIDDIPET  (SIDDIPET),Yellaiah,26,IND,"Rs 10,90,000",Nil
SUNKARI VENKATASWAMY,HUSNABAD  (SIDDIPET),Lachaiah,63,Peoples Party of India (Democratic),"Rs 21,60,000",Nil
THANNEERU HARISH RAO(Winner),SIDDIPET  (SIDDIPET),Thanneeru Satyanarayana Rao,52,BRS,Telangana 2018,"Rs11,44,83,799"
THOOMKUNTA NARSA REDDY,GAJWEL  (SIDDIPET),Thumkunta Venkat Reddy,60,INC,Telangana 2014,"Rs5,84,58,460"
V. SADANANDA REDDY,GAJWEL  (SIDDIPET),Krishna Reddy Vundyala,58,People Protection Party,Telangana 2023,"Rs1,84,30,000"
VADLAKONDA RAVIKUMAR REDDY,HUSNABAD  (SIDDIPET),Mallaiah,58,Bharatha Chaitanya Yuvajana Party,"Rs 32,42,890",Nil
VARIKOLU SRINIVAS,SIDDIPET  (SIDDIPET),SATHAIAH,35,IND,"Rs 6,70,000",Nil
VATARIKARI NAGARANI,SIDDIPET  (SIDDIPET),Bairi Sharabaiah,43,Aabaad Party,"Rs 26,75,000","Rs 35,000"
VEMULA VENKATA PRASANNA,DUBBAK  (SIDDIPET),Vemula Mallikarjun,28,Dharma Samaj Party,"Rs 7,46,000","Rs 6,00,000"
VIJAY KUMAR GOLLAPALLY,DUBBAK  (SIDDIPET),Nagaraju Gollapally,29,Aabaad Party,"Rs 3,20,000","Rs 3,29,285"
VOLLALA PRAVEEN KUMAR RAO,GAJWEL  (SIDDIPET),Satyanarayana Rao,45,Samaikyandhra Parirakshana Samithi,"Rs 42,25,000",Nil
ANJANAPALLI RAVI,HUZURNAGAR  (SURYAPET),Bakkaiah,37,IND,"Rs 8,22,578","Rs 82,560"
ASHAMALLA RAVI PRASAD,THUNGATHURTHI (SC)  (SURYAPET),Dharmaiah,33,IND,"Rs 25,000",Nil
AVIRENDLA JYOTHI,HUZURNAGAR  (SURYAPET),Arvirendla Nagendra Babu,31,Dharma Samaj Party,"Rs 13,56,500","Rs 4,50,000"
BADE NARSAIAH,HUZURNAGAR  (SURYAPET),Antaiah,60,IND,"Rs 23,83,750","Rs 11,10,000"
BADE SRIVIDYA,KODAD  (SURYAPET),Bade Ramarao,36,IND,"Rs 13,71,250","Rs 70,000"
BAGARI ANANTHAIAH,THUNGATHURTHI (SC)  (SURYAPET),Ramaiah,59,Yuga Thulasi Party,"Rs 50,000",Nil
BANDARU NAGARAJU,HUZURNAGAR  (SURYAPET),Mysaiah,30,IND,Lok Sabha 2019,"Rs2,26,000"
BANOTHU NAGESWAR RAO,HUZURNAGAR  (SURYAPET),Shouri Banothu,32,IND,"Rs 56,78,212","Rs 7,83,000"
BELLAMKONDA NAVEEN,KODAD  (SURYAPET),Bellamkanda Sreenu,29,IND,"Rs 58,97,741",Nil
BODDU KIRAN,THUNGATHURTHI (SC)  (SURYAPET),Lingaiah Boddu,32,BSP,"Rs 4,07,511",Nil
BOLLAM MALLAIAH YADAV,KODAD  (SURYAPET),Bollam Veeraiah,60,BRS,Telangana 2018,"Rs3,55,02,000"
CHAKRALA LINGAIAH,KODAD  (SURYAPET),Chakarala Veeraiah,38,IND,"Rs 13,83,500",Nil
CHALLA SRILATHA,HUZURNAGAR  (SURYAPET),Challa Vijaya Bhasker Reddy,50,BJP,"Rs 14,07,80,443","Rs 2,02,58,661"
CHAMAKURI NARSAIAH,SURYAPET  (SURYAPET),SATHYANARAYANA,42,IND,"Rs 5,20,000",Nil
CHEEKURI LEELAVATHI,HUZURNAGAR  (SURYAPET),Tirupathaiah,39,IND,"Rs 20,35,444","Rs 1,45,000"
CHERUKU KIRAN KUMAR,SURYAPET  (SURYAPET),Nagamallu,33,Dharma Samaj Party,"Rs 5,000",Nil
CHERUKUPALLI PREMKUMAR,KODAD  (SURYAPET),GURAVAIAH,48,IND,"Rs 1,000",Nil
DAMODAR REDDY RAMREDDY,SURYAPET  (SURYAPET),R. Narayana Reddy,71,INC,Telangana 2018,"Rs1,48,03,228"
DASARI BALASWAMY,THUNGATHURTHI (SC)  (SURYAPET),Yallaiah,32,Dharma Samaj Party,"Rs 2,00,000",Nil
DEVARAKONDA JANAIAH,THUNGATHURTHI (SC)  (SURYAPET),Abbaiah,33,Republican Party of India (Athawale),"Rs 18,630",Nil
DHARAVATH VENKATESH,SURYAPET  (SURYAPET),Seetharamulu,34,IND,"Rs 4,30,000","Rs 2,28,000"
DR. DESHAGANI SAMBASHIVA GOUD,HUZURNAGAR  (SURYAPET),Guravaiah Deshagani,45,IND,Telangana 2023,"Rs1,74,23,000"
DR. MEDI RAMANA,HUZURNAGAR  (SURYAPET),Saidulu,43,IND,Telangana 2018,"Rs1,00,000"
EADULA VEERAPAPAIAH,THUNGATHURTHI (SC)  (SURYAPET),Narsaiah,44,Marxist Communist Party of India (United),"Rs 74,96,000","Rs 1,50,000"
EPURI SOMAIAH,KODAD  (SURYAPET),Gamaiah,54,Marxist Communist Party of India (United),"Rs 80,000",Nil
ESHWAR YATHAKULA,SURYAPET  (SURYAPET),Yathakula Bixam,41,IND,"Rs 55,415",Nil
GADARI KISHORE KUMAR,THUNGATHURTHI (SC)  (SURYAPET),Late Maraiah,42,BRS,Telangana 2018,"Rs1,06,08,445"
GANGIREDDY KOTIREDDY,KODAD  (SURYAPET),Shambi Reddy,37,IND,Nil,Nil
GUNAGANTI SAIDULU,KODAD  (SURYAPET),GUNAGANTI VENKATESHWARLUU,36,IND,"Rs 1,52,19,651","Rs 58,66,466"
GUNDU UPENDAR,KODAD  (SURYAPET),Krrishnaiah,45,IND,"Rs 2,62,000","Rs 16,000"
GUNTAKANDLA JAGADISH REDDY(Winner),SURYAPET  (SURYAPET),RAM CHANDRA REDDY,58,BRS,Telangana 2018,"Rs3,70,90,580"
INUGURTI VENKATA RAMANA,KODAD  (SURYAPET),Krishanbraham,54,IND,"Rs 15,13,187",Nil
ISLAVATH RAVINAYAK,KODAD  (SURYAPET),lslavath Chatriya,35,Blue India Party,"Rs 1,55,000",Nil
JANAIAH NANDIPATI,HUZURNAGAR  (SURYAPET),Devaiah,47,Telangana Sakalajanula Party,Telangana 2023,"Rs23,82,638"
JANAIAH VATTI,SURYAPET  (SURYAPET),Vatti Balaiah,45,BSP,"Rs 37,15,11,465","Rs 1,91,10,763"
K. INDIRA,THUNGATHURTHI (SC)  (SURYAPET),K.Rupakar,47,Telangana Communist Party of India,Telangana 2018,"Rs14,37,000"
KADIYAM RAMACHANDRAIAH,THUNGATHURTHI (SC)  (SURYAPET),Venkaiah Kadiyam,62,BJP,Telangana 2018,"Rs95,86,529"
KARNATI VENKATESWARA REDDY,HUZURNAGAR  (SURYAPET),RAMREDDY KARNATI,63,IND,"Rs 2,20,000",Nil
KIRAN VANGAPALLI,SURYAPET  (SURYAPET),RAMULU VANGAPALLI,38,Republican Sena,Lok Sabha 2019,"Rs75,000"
KOLLU LAKSHMINARAYANA RAO,KODAD  (SURYAPET),KOLLU NARSAIAH,49,IND,Telangana 2018,"Rs1,34,64,150"
KOMMU RAMESH,KODAD  (SURYAPET),Kommu Danelu,37,IND,"Rs 16,50,000",Nil
KONGARI MALLAIAH,THUNGATHURTHI (SC)  (SURYAPET),Sh. Narsaiah,51,IND,Telangana 2018,"Rs6,08,000"
KOTHAPALLI RENUKA,SURYAPET  (SURYAPET),Shiva Kumar,44,IND,"Rs 60,47,518","Rs 6,05,812"
LINGIDI VENKATESHWARLU,SURYAPET  (SURYAPET),Ramulu,66,Prajavani Party,Telangana 2023,"Rs1,80,65,000"
